Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
1/31/2024,Wednesday,January,Q1,2024,EQ,3811.20,3834.00,3796.45,3800.55,3804.00,3815.95,3814.91,3965.00,3070.25,2459358,166663
1/30/2024,Tuesday,January,Q1,2024,EQ,3807.45,3847.80,3787.00,3801.00,3801.40,3800.55,3816.76,3965.00,3070.25,1411621,96931
1/29/2024,Monday,January,Q1,2024,EQ,3800.80,3820.00,3780.85,3810.30,3807.00,3801.00,3798.49,3965.00,3070.25,1646747,114028
1/25/2024,Thursday,January,Q1,2024,EQ,3839.90,3861.00,3778.70,3841.80,3807.00,3810.30,3803.09,3965.00,3070.25,2205154,186169
1/24/2024,Wednesday,January,Q1,2024,EQ,3880.00,3883.65,3805.60,3858.25,3859.40,3841.80,3842.01,3965.00,3070.25,2657709,119466
1/23/2024,Tuesday,January,Q1,2024,EQ,3900.00,3933.90,3842.75,3860.65,3860.05,3858.25,3881.80,3965.00,3070.25,2618854,214176
1/20/2024,Saturday,January,Q1,2024,EQ,3948.00,3955.65,3855.55,3943.05,3859.30,3860.65,3896.81,3965.00,3070.25,516477,47373
1/19/2024,Friday,January,Q1,2024,EQ,3945.00,3963.55,3915.05,3902.60,3947.00,3943.05,3942.73,3965.00,3070.25,2941975,272591
1/18/2024,Thursday,January,Q1,2024,EQ,3898.00,3908.80,3862.00,3884.60,3902.00,3902.60,3887.98,3965.00,3070.25,2239110,200495
1/17/2024,Wednesday,January,Q1,2024,EQ,3819.00,3909.95,3812.55,3861.30,3880.00,3884.60,3882.57,3965.00,3070.25,3458696,161556
1/16/2024,Tuesday,January,Q1,2024,EQ,3899.00,3899.00,3855.55,3903.80,3861.05,3861.30,3873.57,3965.00,3070.25,1432672,157027
1/15/2024,Monday,January,Q1,2024,EQ,3960.00,3965.00,3885.00,3882.80,3902.00,3903.80,3922.67,3965.00,3070.25,2801505,265310
1/12/2024,Friday,January,Q1,2024,EQ,3848.00,3905.25,3821.60,3735.55,3881.90,3882.80,3873.63,3929.00,3070.25,6813450,337824
1/11/2024,Thursday,January,Q1,2024,EQ,3724.00,3773.00,3707.00,3713.05,3726.70,3735.55,3738.42,3929.00,3070.25,1777909,135916
1/10/2024,Wednesday,January,Q1,2024,EQ,3690.00,3729.25,3688.00,3689.90,3707.05,3713.05,3706.94,3929.00,3070.25,1292227,111912
1/9/2024,Tuesday,January,Q1,2024,EQ,3709.95,3752.35,3682.75,3678.30,3696.00,3689.90,3716.16,3929.00,3070.25,1370944,112174
1/8/2024,Monday,January,Q1,2024,EQ,3737.90,3739.75,3672.40,3737.90,3680.85,3678.30,3696.43,3929.00,3070.25,1067805,137547
1/5/2024,Friday,January,Q1,2024,EQ,3675.00,3747.75,3674.85,3666.80,3738.60,3737.90,3721.70,3929.00,3070.25,1963127,155406
1/4/2024,Thursday,January,Q1,2024,EQ,3701.75,3719.00,3651.00,3691.75,3668.60,3666.80,3668.32,3929.00,3070.25,3598144,220494
